,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RNA5SP60,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1064P,0,0.1326,0.1788,0,0.1185,0.1083,0.1497,1.0586,1.1301,0.3905,0,0.388
RNU4-43P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1025P,0,0.1326,0.8941,0,0.5925,0.1083,0.2994,0.2117,0,0,0.1682,0.6467
RN7SKP61,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP345,0.2549,0,0,0,0.1141,0.1043,0.5766,0.2039,1.2437,0.1254,0.3239,0.4982
RNU2-47P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-66P,0,0,0,0,0,0,0,0,0,0,0,0.0836
RN7SKP222,0,0,0,0,0,0,0,0,0,0,0,0.0427
RNA5SP494,0,0.1069,0.1442,0.4593,0.1911,0.0873,0.3621,0,0.1302,0,0.4068,1.2514
RN7SKP159,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-887P,0,0,0,0,0,0,0,0,0,0,0,0.1345
RN7SKP235,0.0451,0,0.1829,0,0.202,0.1108,0.051,0.0722,0.1101,0.1775,0.1147,0.3087
RNU2-49P,0,0,0.1011,0,0,0,0,0,0.2737,0,0,0
SNORA7,0.2503,0,0.3381,0,0.112,0.2047,0.5661,0.1001,1.8316,0.7384,0.4771,0.4892
RNU6-628P,0.1287,0.3867,0.5214,0,0,0.1052,0.291,0,0.1569,0.1265,0.4904,0.2514
RNA5SP504,0,0,0,0,0,0,0,0,0.1435,0,0,0.115
RNU4-69P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-402P,0,0,0,0,0,0.4373,0.4535,0.2138,0.163,0.1314,0.1698,0
RNU2-52P,0,0.0726,0,0,0.1946,0.0593,0,0,9.6318,0,0,0.1416
RN7SKP27,0,0,0,0,0,0,0,0,0.0504,0,0,0
RN7SKP254,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-15P,0,0,0,0,0,0,0,0,0.0879,0,0,0
RNU2-48P,0,0,0.2921,0,0.0645,0.059,0.0815,0.5188,0,0.1418,0,0
RNU2-37P,0,0.2338,0,0,0.0696,0,0.1759,0.2488,0.3794,0.0765,0.1977,0.152
RNU2-42P,0,0,0,0,0.4363,0.1993,0,0,0,0.2396,0,0.119
RN7SKP131,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1203P,0.3754,0,0.3381,0,0.112,0.1024,0,0.3003,0.4579,0.1231,0.159,0.3669
RN7SKP54,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-51P,0.0699,0.14,0,0,0.1251,0.2286,0.079,0.3353,0.2557,0.2062,1.3319,0.6829
RNU2-16P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-70P,0.0769,0.3082,0.7273,0,0.1377,0.3774,0.2609,0.123,0.469,0,0,0.3006
RNU6-248P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-8P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-55P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP123,0,0,0,0,0,0,0,0,0.1731,0,0,0
RNU6-394P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP146,0,0.1121,0,0,0,0,0,0.0895,0,0.1101,0,0.1094
RN7SKP213,0,0,0,0,0,0,0,0,0.5071,0,0.0587,0.0451
RNU6-1267P,0,0.2578,0,0,0.1152,0,0,0.1029,0.6276,0.1265,0.1635,0.2514
RNA5SP38,0,0,4.0632,0,0.725,0.6623,0,0,0.8465,1.0239,0.735,0
RN7SKP119,0,0.0505,0.0681,0.0723,0.0451,0,0.1141,0.0403,0.123,0,0,0.1478
RNU4-72P,0,0,0,0,0.1425,0,0,0,0,0.0783,0.1011,0
RNU6-733P,0.3971,0,0,0,0,0,0,0,0,0.1302,0,0.5174
RN7SKP120,0,0,0,0,0,0,0,0,0,0,0,0.0789
RN7SKP182,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP39,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP89,0,0,0,0,0,0,0,0,0.4163,0,0,0.2779
RN7SKP51,0,0,0,0,0,0.4815,0,0,0.2209,0,0,0.0443
RN7SKP38,0.1782,0.1339,0.3611,0,0.0798,0.1093,0.1008,0.2138,1.2497,0.0438,0.1698,0.3483
MIR1911,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP188,0.0434,0,0,0,0,0,0,0,0.2648,0,0,0.2122
RNU2-63P,0.071,0.0711,0.3834,0,0.0635,0.4063,0.8025,3.0646,1.3847,2.3726,0,0.0693
RNU2-7P,0.696,0.0775,1.1493,0,0.7616,1.2651,0.8747,1.237,1.1319,0.6845,1.3758,0.9825
RNU4-64P,0,0,0,0,0,0,0,0,0,0,0.1335,0
RNY4P29,0,0,0,0,0,0,0,0,0.1731,0,0,0
RNU4-6P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP328,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP229,0,0,0,0,0,0.1137,0,0.2224,0,0,0,0.1359
RNU6-1190P,0,0,0.3576,0,0.1185,0,0.1497,0,0.4843,0,0.1682,0.1293
RN7SKP166,0,0,0.1219,0,0,0,0,0,0,0,0,0
RNA5SP25,0,0.2508,0.3381,0,0.112,0.2047,0,0,1.221,0,0,0.2446
RNU4-46P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP206,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-53P,0,0,0.5313,0,0.1761,0.2413,0,0,0.2398,0,0,0.5765
RNU6-684P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP106,0,0,0,0,0.2719,0.0828,0,0,1.4197,0.0498,0,0
RNU2-40P,0,0,0,0,0,0.1149,0,0,0.3426,0,0,0.3432
RN7SKP121,0,0,0,0,0,0,0,0,0.1101,0,0,0.0441
RNU6-233P,0.1953,0,0.2638,0,0.0874,0.1597,0.2208,0,0.2381,0,0.2481,0.3816
RNA5SP144,0,0,0,0,0,0,0.1342,0,0,0,0,0
RN7SKP212,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP91,0,0,0,0.0686,0,0,0,0,0.0583,0,0,0
RNU2-38P,0,0,0,0,0.156,0,0.1971,0.1394,0,0,0.2214,0.1703
RNU4-14P,0,0,0,0,0,0.0923,0.6381,0.0902,0.1376,0,0.1434,0.8821
RNU6-67P,0,0,0,0,0,0,0,0,0.3462,0,0,0.5547
RNU6-860P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-83P,0,0,0,0,0,0,0,0,0,0,0,0.4046
RNU6-383P,0,0,0,0,0,0,0,0,0,0,0,0.2862
RNU2-62P,0,0,0,0,0,0,0,0,0,0.2835,0,0.0704
RNA5SP225,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-47P,1.2076,1.2098,4.4046,0.693,0.973,1.7779,3.5508,1.8349,1.0309,0.95,0.3069,0.826
RNU2-68P,0.2883,1.0109,1.5579,0.3102,0.6453,0.4716,1.1412,1.2105,0.1758,0.3544,0.1832,1.1269
RNU4-27P,0,0,0,0,0,0,0,0,0.4831,0,0,0
RN7SKP286,0,0,0,0,0,0,0,0,0,0,0,0
MIR1537,0,0.2261,0,0,0,0,0,0,0,0,0,0.4411
RNA5SP120,0.3687,0,0,0,0,0,0,0,0.4497,0,0,0
RNA5SP100,0,0.1254,0,0,0,0,0,0,0.3053,0,0,0.1223
RNA5SP136,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP168,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-321P,0,0,0,0,0,0,0,0,0,0,0,0.2538
RN7SKP42,0,0,0,0,0,0,0,0.0734,0,0,0,0
RNA5SP21,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP59,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-920P,0,0.1499,0.4043,0,0.4019,0,0,0.2393,0,0.4415,0,1.1698
RN7SKP136,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1086P,0.413,0,0,0,0.1232,0.1126,0.6228,0,0.1679,0,0,0.1345
RNU6-565P,0,0.4138,0,0,0,0,0,0,0,0,0,0.269
RNU6-1328P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-78P,0.2185,0.6568,0.738,0.7837,0.5869,0.7149,0.9885,0.7864,0.7995,1.0744,0.833,3.3097
RN7SKP33,0,0,0,0,0,0,0,0,0.1975,0,0,0.0396
RN7SKP261,0,0,0,0,0,0,0,0.0396,1.3287,0,0.2517,1.113
RN7SKP29,0,0,0.0684,0,0,0,0.0572,0,0.0617,0,0,0.0989
RNU6-1068P,0,0,0,0,0,0.1093,0,0.1069,0,0,0,0.1306
RNU6-1133P,0,0,0,0,0,0,0,0.1101,0,0,0,0
RN7SKP97,0,0.0828,0.2234,0.2965,0.1851,0.0676,0.6078,0.6282,0.4033,1.3416,0.893,0.6464
RNU6-193P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-564P,0,0.2652,0.5365,1.5192,0.1185,0.5413,1.0479,0.3176,0,0.5207,0.1682,1.0348
RNA5SP29,0,0,0,0,0.1163,0.1062,0,0,0.1584,0,0.165,0.3807
RNA5SP104,0,0.1169,0,0,0.2089,0,0,0.0933,0,0.2295,0,0.228
RNA5SP501,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-41P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1148P,0,0,0,0,0,0,0,0,0,0,0,0.1293
RN7SKP205,0,0,0,0,0,0,0,0,0.2734,0,0,0.1753
RNU6-172P,0.4441,0,0,0,0.1325,0,0,0.3552,0,0,0,0.2893
RN7SKP284,0,0,0,0,0,0,0,0,0,0,0,0.0392
SNORD63B,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-370P,0,0.1326,0,0,0,0,0.1497,0,0,0,0,0.5174
RN7SKP58,0.2708,0,0,0.1295,0,0,0.051,0,0,0,0,0.0441
RN7SKP262,0,0,0,0,0.0435,0,0,0,0,0,0,0.0951
RNA5SP41,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP265,0,0,0,0,0,0,0,0,0,0,0,0
MIR1913,0,0,0,0,0,0.2815,0,0.1376,0,0,0,0
RNU6-272P,0.2647,0,1.2517,0.1899,0.3555,0,0.5988,0.5293,0.1614,0.2603,0,0.5174
RN7SKP8,0.1538,0.0385,0.2597,0,0,0.0315,0.0435,0,0,0.0378,0,0.0752
RNA5SP222,0,0,0,0,0,0,0,0,1.1193,0,0,0
RNU6-651P,0,0,0,0,0,0,0,0,0.1599,0,0,0
RNU2-25P,0,0,0,0,0.0645,0,0,0.1153,0,0,0.0916,0.0704
RN7SKP228,0,0,0,0,0.0469,0,0,0,0,0,0,0
RN7SKP94,0,0,0,0.0695,0,0,0,0,0,0,0,0.1421
RN7SKP167,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP216,0,0,0,0,0,0,0,0,0,0,0,0.1725
RNA5SP127,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-14P,0,0,0,0,0.0645,0,0,0.0576,0,0,0,0.0704
RNU5A-5P,0,0.1189,0,0,0,0,0,0,0,0,0,0.3479
RN7SKP68,0,0,0,0,0,0,0,0,0.1641,0,0,0
RNU4-22P,0,0,0.2241,0,0,0.2035,0.0938,0,0.2023,0.1631,0.6323,0.081
RN7SKP259,0,0.0828,0,0,0.074,0,0.0468,0,0.3025,0,0.0525,0.0404
RNU2-61P,0,0,0,0.1034,0.0645,0,0,0.1153,0.2637,0.2835,0,0.3522
RNA5SP184,0,0,0,0,0,0.1043,0,0,0,0,0,1.4947
SNORD29,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP137,0,0,0,0,0,0.0367,0,0,0,0,0.057,0
RN7SKP73,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP264,0,0.0477,0.2574,0.0683,0.0426,0,0.0539,0.0762,0,0,0.0605,0.1396
RNA5SP344,0,0.1326,0.5365,0,0.237,0,0,0.1059,0,0,0.1682,0.1293
RNU6-1135P,0,0,0,0,0,0,0,0,0,0,0.1698,0
RNA5SP306,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-55P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP247,0,0,0,0.1282,0,0,0,0,0.109,0,0,0
RNU6-284P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP268,2.701,0.0873,0,0.125,0.039,0,0.0493,0,0,0.0428,0.0554,0.0426
RN7SKP144,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP161,0,0,0.061,0,0,0,0.1531,0,0.055,0,0,0.3528
RNU6-130P,1.0692,2.1424,2.3472,0.1917,0.359,1.4211,0.7558,0.7482,1.141,0.6572,0.6793,1.6979
RNA5SP369,0,0,0.1722,0,0,0,0,0,0.3109,0,0,0.3737
RNU6-847P,0,0,0,0,0,0,0,0,0.1555,0,0,0.2491
RN7SKP169,0,0,0.0639,0,0.0424,0,0,0,0,0,0,0
RNU6-1245P,0,0,0.5263,0,0,0,0,0,0,0,0,0.1269
RNU6-325P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP126,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP31,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-55P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP155,0.3201,0.3207,0.1442,0,0.0955,0.4364,0.1207,0.0853,0.5206,0,0.8136,0.5214
RNU6-602P,0,0,0,0,0,0,0,0,0,0,0,0
RMRPP5,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP115,0,0,0,0,0.1152,0,0,0,0,0,0.1635,0
RNU5E-9P,0,0,0,0,0,0,0,0,0.1614,0,0,0
RNU2-72P,0,0.0846,0,0,0.3024,0.0691,0,0,0,0,0,0.0825
MIR1538,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP247,0.9177,0.7881,1.2398,0,0.3521,0.3217,0.1483,0.9437,0.1599,0.7736,0.9996,0.8968
RN7SKP296,0,0.4449,0.0545,0.7529,0,0.1321,0.137,0.1291,2.1664,0.5161,0.3591,0.355
RN7SKP102,0,0,0,0,0,0,0,0,0,0.043,0,0
RN7SKP181,0,0,0.0589,0,0,0,0,0,0,0,0,0.0426
RNU2-32P,0,0,0.4868,0.1034,0,0,0,0,1.6702,0,0,0.1409
RN7SKP263,0,0.0893,0,0,0,0.0364,0,0,0,0,0,0
RN7SKP140,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP304,0.2647,0,0,0,0,0.1083,0,0,0.3229,0,0,0.1293
RN7SKP207,0,0,0,0,0,0,0,0,0.0554,0,0,0
RNA5SP450,0.5398,0.5409,0,0,0.2417,0,0.1526,0.3238,1.646,0,0.343,0
RN7SKP252,0,0,0,0,0,0,0,0,0.0513,0,0,0.0411
RN7SKP112,0,0,0,0,0,0,0.0979,0,0,0.0426,0,0
RNU4-88P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-18P,0,0.0851,0.2296,0,0,0,0,0.068,0,0.0836,0,0.1661
RNY1P3,0,0,0,0,0,0,0,0,0,0,0,0.114
RNA5SP280,0,0,0,0,0.1072,0,0,0,0.146,0,0,0
RN7SKP142,0,0,0,0,0,0,0,0,0.1024,0,0,0.041
RNA5SP209,0,0,0,0,0,0.1161,0.1605,0,0.8654,0,0.1803,0.6934
RN7SKP17,0,0,0,0,0,0,0,0,0.0478,0,0,0.1533
RNU4-61P,0,0,0,0,0,0,0,0.1029,0.4707,0,0,0.1257
RNA5SP39,0.3442,1.0344,0.155,0,0.1027,0.4692,0.2595,0,0.1399,0.4513,0.4373,0.5605
RNU6-373P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1199P,0,0.1326,0,0,0.3555,0.1083,0,0,0,0,0,0
RNU6-177P,0.2647,0,0.1788,0,0.237,0,0.1497,0.3176,0.3229,0,0.3364,0.388
RN7SKP100,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-293P,0,0,0,0,0,0,0,0,0,0.5109,0,0
RNU6-1001P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-22P,0.4545,0.7156,0.5263,0,1.5115,1.1153,0.1469,0.1039,1.5839,0.2554,0.165,0.1904
RN7SKP297,0,0.0489,0,0,0,0,0,0,0,0,0,0
RNA5SP221,0,0.1339,0,0.1917,0.359,0.328,0,1.4965,0,0,0.5095,0.1306
RNU6-1217P,0,0,0,0,0.1185,0,0,0,0,0,0,0
RNU4-74P,0,0.0857,0,0,0,0,0,0,0.4171,0,0,0.0836
RNU6-607P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-938P,0,0,0,0,0,0,0,0,0.163,0,0,0.1306
RN7SKP192,0,0,0,0,0,0,0,0,0.1027,0,0.0535,0
SNORD71,0,0.1604,0,0,0.1433,0.9165,1.0862,0.128,0.5857,0.1574,0.2034,1.7206
RNU6-1054P,0,0.1326,0,0,0.1185,0.1083,0,0,0,0.1302,0,0
RN7SKP270,0,0,0,0.0633,0,0,0,0,0,0,0,0
RNA5SP294,0,0,0,0,0,0,0,0.1112,0,0,0,0.4076
RNU4-63P,0,0,0,0,0,0.0954,0,0,0,0,0,0.114
RNU2-64P,0,0,0,0,0.0645,0,0,0.0576,0.0879,0.0709,0,0.1409
RNU6-785P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-575P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP508,0,0,0,0,0,0.0946,0,0,0,0,0,0
RN7SKP194,0,0,0,0,0,0,0.0444,0,0,0,0.0498,0
RNA5SP492,0,0,0,0,0.3243,0,0.1366,0.0966,0,0.1188,0,0.118
RNU6-387P,0.6555,1.7076,2.8338,0,2.3475,0.7506,1.7793,1.5728,1.1193,2.8365,1.6659,2.0499
RNU6-592P,0,0,0,0,0,0,0,0,0,0,0,0.5224
RN7SKP53,0,0,0,0,0,0,0,0,0.0533,0,0,0
RN7SKP172,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP498,7.5714,2.9883,50.0571,3.7853,1.4379,3.0964,11.9361,4.1286,0.8395,1.6923,0.2915,2.13
RNU6-57P,0.5346,0.6695,0.5417,0,0.2393,0.328,0.6046,0.4276,0.326,0,0.5095,0.5224
RN7SKP85,0,0,0,0,0,0,0,0,0,0,0,0.0423
RN7SKP165,0,0,0,0,0,0,0,0.0309,0,0,0,0
RNU6-195P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-954P,0,0,0,0,0,0.1052,0,0,0,0,0,0.3772
RNA5SP107,0,0,0,0,0,0.1846,0,0,0,0,0,0
RNA5SP270,0.35,0,0,0,0,0,0,0,0.7114,0,0,0.114
SNORD83,0,0,0,0,0,0,0,0,0,0,0,0.3494
RNY3P8,0.5463,0.4378,1.6236,0.1567,0.6847,0.2681,0.2471,0.4369,1.3325,0.4298,0.2777,0.2135
RN7SKP108,0,0,0,0,0,0,0,0,0,0,0.0533,0
RN7SKP30,0.577,0.4542,0.8909,0.1774,0.1845,0.3371,0.1865,0.2637,0.1508,0.3648,0.3666,0.9264
RNU6-1304P,0,0,0,0,0.1163,0.1062,0,0,0.792,0,0,0.1269
RN7SKP101,0,0,0,0,0,0,0,0,0.2623,0,0.0547,0
RNU6-722P,0.6618,1.1935,0.1788,1.899,1.3036,0.9744,1.6467,0.8469,1.4529,1.3017,0.841,1.4228
RNU6-516P,1.456,3.3154,5.3645,1.3293,2.1331,1.5157,2.2455,1.1645,3.2287,0.5207,0.1682,4.1392
RN7SKP279,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP111,0,11.1975,7.5493,0,0.2441,1.1148,0.1541,0,0.8312,0.2681,0.1732,12.9196
RN7SKP293,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP273,0.7015,0.0878,0.1185,0.0629,0,0.0359,0.1983,0,0.3208,0.1293,0,0.2142
RNU2-71P,0,0,0,0.1045,0.0652,0,0.0824,0.1165,0,0.0716,0,0.1424
RNU6-1052P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-603P,0.386,0,0,0,0,0,0,0,0,0,0,0
RNU2-6P,0.1449,0.1452,0.3915,0,0.1946,0.0593,0.3278,0,0,0,0.2762,1.2036
RN7SKP3,0,0,0,0,0,0,0,0,0.0938,0.0378,0,0.0752
AL158817.1,0,0,0,0.0635,0.0132,0,0.0167,0.0118,0.054,0,0,0.0144
AC137630.1,0.0352,0.2469,0.214,0.0505,0.8195,0.4032,0.4181,0.2253,0.3006,0.6232,0.1566,0.5333
AL359081.1,0,0,0,0,0,0,0,0,0,0,0,0
HIST2H2BA,0.2185,0.0912,0.0984,0.1829,0.0652,0.2234,0.1853,0,0.111,0.0716,0.1157,0.2135
KLF2P3,0,0.0127,0,0,0.0227,0,0,0,0,0,0,0.0124
IGLV9-49,5.7219,3.7768,3.9104,1.7383,2.1093,1.0186,0.1142,24.8458,5.4186,1.2578,1.4541,3.322
ZNF385D-AS2,0,0,0,0,0,0,0,0,0.0518,0,0,0
AL589763.1,0,0,0,0,0,0,0,0,0,0,0,0
AL590666.1,0.8266,0.223,0.9449,0.5473,0.4269,0.7021,0.2517,0.3305,1.0469,0.1563,1.2119,0.901
EHHADH-AS1,0.0084,0,0.0342,0,0.0076,0.0069,0,0,0,0,0,0.0165
AC096559.1,0,0,0,0,0,0,0.1171,0,0,0.0339,0,0
FTH1P10,0.8585,3.5741,3.7994,2.6757,1.4975,0.908,1.6239,2.782,1.3179,1.6595,0.3762,0.8245
CDY15P,0,0,0,0,0,0,0,0,0,0,0,0
AL513124.1,0,0,0,0,0,0,0,0,0.0547,0,0.0285,0.1534
AC108066.1,0,0,0,0,0,0.0189,0,0,0,0,0,0
AC005104.1,0.1869,0.9361,0.1262,0.3575,1.0875,0.968,1.6555,1.4447,2.1272,1.0108,2.335,1.887
AC096638.1,0,0,0,0.2743,0,0.0521,0,0,0.2332,0,0.081,0.0623
AC244098.1,0,0,0,0,0,0,0,0,0,0,0,0
AL391987.2,0.056,0,0,0,0,0,0,0,0.0341,0,0,0.0547
AL356476.1,0,0,0,0,0,0,0,0,0,0,0,0.0169
LINC01778,0.9717,0.1241,0.0088,0.131,0.0409,0.0587,0.1033,0.0365,0.1988,0,0.0166,0.0127
HIST1H2APS6,0,0,0,0,0,0,0,0,0,0,0,0
LINC02068,0.0413,2.3958,0.142,0.0162,0.1479,0.2149,0.1783,0.1501,0.1328,0.1809,0.0716,0.1614
SDCBP2P1,0.0224,0.0225,0,0.1287,0.0201,0.0183,0,0,0.2188,0,0.0285,0.1534
AL445685.1,0,0.1629,0.1708,0.0778,0.097,0.0591,0.0613,0.0433,0.0661,0.0533,0.1607,0.2648
AC006210.1,0,0,0,0.1779,0,0,0,0,0,0,0,0.3636
CLDN10-AS1,0.2461,0,0,0.1986,0.2066,0,0.0348,0.2091,0.0938,0.2874,0.0195,0.962
AL118511.1,0.0779,0.1561,0.1531,0.0203,0.2029,0.3765,0.016,0.0113,0.3196,0.0418,0.027,0.0692
TRBV29OR9-2,0,0.2899,0.6702,0.3558,0.9623,1.1158,0.7481,0.3637,0.605,1.3416,1.1031,1.5755
RBM22P7,0,0,0,0,0,0,0,0,0.06,0,0,0
RPS10P7,0.7891,2.221,2.5819,0.4777,1.3354,1.5744,2.342,0.8427,0.6286,0.9824,0.7477,1.8364
AC027124.1,0,0,0,0,0,0,0,0,0,0,0,0
AP006748.1,0,0,0.1612,0,0.0356,0.0976,0.225,0,0,0.0391,0,0.0778
AC074121.1,0.0396,0.1982,0.0534,0.1135,0.0354,0.0971,0.0447,0.0316,1.0132,0.1167,0.3519,0.2706
MEG9,0.0355,0.0089,0.024,0.0636,0.0344,0.0242,0.0535,0.0024,0.0793,0.0145,0.0225,0.0202
LINC00397,0,0,0,0.0312,0,0,0,0,0,0,0.6898,0
XKRYP5,0,0,0,0,0,0,0,0,0,0,0,0
USP9YP18,0,0,0,0,0,0,0,0,0,0,0,0
RPL17P17,0.0494,0.1981,0.2671,0.1773,0.3319,0.2426,0.0839,0.0593,0.1507,0.8021,0.1884,0.6038
AL009050.1,0,0,0,0,0,0,0,0,0,0,0,0
RPS26P15,0.5538,0.4756,1.6566,1.0215,0.3542,1.1001,0.5369,1.1389,2.943,0.5446,1.2064,1.0051
TRIM49D1,0,0,0,0,0,0,0,0,0,0,0,0
AC004554.1,0,0.0282,0,0,0,0.0077,0,0.0075,0,0,0.0119,0.0092
AC006022.1,0,0,0.1917,0,0.0635,0,0.0401,0,0.0433,0,0,0.1387
AL354854.1,0,0,0,0,0,0.0083,0,0,0,0,0,0.0099
AC007274.1,0,0,0,0,0,0,0,0,0,0,0,0
AC016716.1,0.1167,0.0779,0.0525,0.0837,0.0522,0.0636,0.066,0.0311,0.3557,0.0574,0.0741,0.057
AC010997.1,0,0,0,0.1129,0.0704,0.1287,0,0,0,0.116,0,0.0769
AL139156.1,0,0.0328,0.3096,0.047,0.0293,0.1205,0.0555,0.0131,0,0,0.0208,0.112
AC011243.1,0,0,0,0,0,0,0,0.0531,0.4046,0,0,0.0648
MTND6P21,0.5426,0,0.1157,0,0.0767,0,0.0646,0,0.1393,0.0843,0.1815,0.1395
AC009988.1,0,0.0445,0,0,0.0398,0.0726,0.1507,0.071,0.0542,0,0,0.1302
RPS29P9,0,0.0807,0,0,0,0,0,0.0644,0.1964,0,0.1023,0
AC011625.1,0.2355,0,0,0,0.0234,0,0,0,0,0,0,0.0511
TMSB4XP3,0.1208,0,0,0,0,0.1975,0.1366,0.0966,0.8837,0,0.4603,0.472
AC235097.1,0,0,0,0,0,0,0,0,0,0,0,0
AL589642.1,0,0,0,0,0,0.0044,0,0.0043,0,0,0,0.0052
TH2LCRR,0.1019,0.1148,0.0688,0.0913,0.2052,0.0729,0.144,0.1018,0.1553,0.0626,0.5016,0.4604
USP17L2,0,0.0217,0,0,0.0065,0,0.0082,0.0115,0.0088,0.0142,0.0275,0.0986
RPL6P21,0.0163,0,0.1319,0,0,0.0133,0,0.013,0.5755,0.032,0.062,0.1272
AL451065.1,0,0,0,0.0409,0.0128,0,0.0323,0.0114,0.0522,0,0,0.0836
AL590632.1,0,0.0744,0.1504,0.2662,0.0332,0.0607,0,0.0297,0.0905,0,0.2357,0.3263
HMGN2P18,0.102,0,0,0.0731,0.3195,0.0417,0,0.0816,0.3731,0.2006,0.2591,0.2989
AL355298.1,0,0,0,0,0,0,0,0,0.1865,0,0.0972,0.1495
HTATSF1P1,0,0,0,0,0,0,0,0,0.1194,0.0138,0,0.1914
LMO7DN-IT1,0.2573,0.043,0,0.0615,0.0384,0.1403,0,0.0343,0,0.0843,0.4359,0.461
TCAF1P1,0.3822,0.8771,0.2582,0.6103,2.2022,0.5395,0.9552,1.1143,0.3158,0.2304,0.1958,0.8856
GAPDHP69,0.2049,0.1095,0.1291,0.4114,0.1589,0.1452,0.278,0.3604,0.6496,0.2283,0.9544,0.1201
AC004471.1,0.0237,0.1659,0.5432,0.2375,0.36,0.3869,0.2408,0.4351,0.0865,0.3257,0.8716,0.4854
AL353801.1,0.0648,0.0649,0.1313,0,0.058,0.1855,0.1465,0.0518,0.1975,0.1274,0.0823,0.1899
LINC01825,0,0.0164,0.0166,0.0117,0.011,0.0301,0,0.0131,0.025,0,0.0052,0.1761
CALM1P1,0,0.0319,0.0429,0.0912,0.1992,0.052,0.036,0.0763,0.2326,0.0625,0.4444,0.0311
AL157371.1,0,0,0,0,0,0,0,0,0,0,0,0
AL117338.1,0,0,0.0589,0,0,0,0,0,0,0,0,0
AC099681.1,0,0.025,0,0,0,0.0204,0,0.0199,0.0912,0,0,0.0487
VN1R42P,0.04,0.5613,0.865,0,0.1075,0.2946,0.1358,0.32,0.2928,0.1181,0.5594,1.1341
AL441992.1,0.582,1.3437,2.7007,2.5776,1.5859,0.9521,2.032,1.9834,5.5245,2.414,1.8328,3.7835
